EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS,DB_CPU_TIME,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED
API,20210520145926.193,SLB:bf1be444ae24dc1438f0998d03381f59,00D300000000FHi,0052T00000CDVeQ,120,8,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",5567104,P,12.0,"","","","",714,676,"","",2021-05-20T14:59:26.193Z,0052T00000CDVeQQAX,107.152.24.184,""
API,20210520145926.567,SLB:a9ef14bc7c5d999fe759f1a1ad734abf,00D300000000FHi,0052T00000CDVeQ,12,10,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",4568088,P,12.0,"","","","",714,676,"","",2021-05-20T14:59:26.567Z,0052T00000CDVeQQAX,107.152.24.183,""
API,20210520150222.806,SLB:520da697f5975ec96b2cfb75e8f8dac5,00D300000000FHi,0052T00000CDVeQ,17,10,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",9901043,P,12.0,"","","","",714,676,6,10,2021-05-20T15:02:22.806Z,0052T00000CDVeQQAX,107.152.24.153,""
API,20210520150223.139,SLB:19e9e6b986ac2178ebcfcb3d57310942,00D300000000FHi,0052T00000CDVeQ,10,7,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",4496749,P,12.0,"","","","",714,676,"","",2021-05-20T15:02:23.139Z,0052T00000CDVeQQAX,107.152.24.184,""
API,20210520150241.066,SLB:c3c5691d86231eb87f1c335635d36e4e,00D300000000FHi,0052T00000CDVeQ,12,9,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",5611842,P,12.0,"","","","",714,676,"","",2021-05-20T15:02:41.066Z,0052T00000CDVeQQAX,107.152.24.147,""
API,20210520150241.405,SLB:07968ee9085e8e832e75519a05949fd3,00D300000000FHi,0052T00000CDVeQ,12,9,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",5425650,P,12.0,"","","","",714,676,"","",2021-05-20T15:02:41.405Z,0052T00000CDVeQQAX,107.152.24.183,""
API,20210520150253.406,SLB:032ca69e27e484d28b5d8f2db1b4c2b9,00D300000000FHi,0052T00000CDVeQ,18,9,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",10310200,P,12.0,"","","","",714,676,3,0,2021-05-20T15:02:53.406Z,0052T00000CDVeQQAX,107.152.25.169,""
API,20210520150253.842,SLB:50034d0a636f57cfec2d8eef852573b6,00D300000000FHi,0052T00000CDVeQ,11,7,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",4510869,P,12.0,"","","","",714,676,"","",2021-05-20T15:02:53.842Z,0052T00000CDVeQQAX,107.152.25.169,""
API,20210520150311.361,SLB:4fc7cace0836e56aa07fb0c0ae54a4f1,00D300000000FHi,0052T00000CDVeQ,19,10,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",11976662,P,12.0,"","","","",714,676,6,0,2021-05-20T15:03:11.361Z,0052T00000CDVeQQAX,107.152.24.183,""
API,20210520150311.950,SLB:90fda443862d1f2268f6a61412fb324c,00D300000000FHi,0052T00000CDVeQ,272,7,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",257148882,P,12.0,"","","","",714,676,"","",2021-05-20T15:03:11.950Z,0052T00000CDVeQQAX,107.152.24.150,""
